left,front,right,action
12.41,11.17,11.18,STOP
49.96,34.87,93.91,RIGHT
39.29,27.46,104.09,RIGHT
24.25,14.39,70.51,RIGHT
39.18,93.31,22.45,FORWARD
14.62,16.89,12.66,STOP
106.1,44.93,38.4,LEFT
21.19,8.44,20.57,STOP
55.71,21.91,60.1,RIGHT
95.92,34.15,40.32,LEFT
56.79,8.01,52.09,LEFT
6.5,9.23,5.54,STOP
8.05,90.14,85.06,FORWARD
17.97,7.73,12.24,STOP
23.15,38.99,114.87,RIGHT
57.43,12.64,70.25,RIGHT
11.23,7.93,11.69,STOP
46.68,95.24,18.64,FORWARD
39.34,40.61,63.66,RIGHT
63.64,9.99,82.56,RIGHT
63.93,20.49,72.64,RIGHT
56.72,104.18,94.33,FORWARD
11.9,16.57,18.65,STOP
9.39,18.43,19.83,STOP
36.85,36.08,46.23,RIGHT
38.93,70.17,67.54,FORWARD
40.21,24.52,57.13,RIGHT
8.9,8.05,18.24,STOP
15.38,10.13,10.25,STOP
28.21,18.61,92.54,RIGHT
40.64,42.65,70.65,RIGHT
9.32,116.32,66.3,FORWARD
16.41,64.78,41.35,FORWARD
41.42,6.92,114.24,RIGHT
92.59,102.02,12.36,FORWARD
9.91,6.0,16.64,STOP
103.98,74.5,14.33,FORWARD
49.7,35.0,99.23,RIGHT
28.33,12.57,104.5,RIGHT
15.8,59.88,100.52,FORWARD
55.93,43.75,47.77,RIGHT
44.47,21.34,80.7,RIGHT
98.28,63.03,118.34,FORWARD
15.45,10.92,12.73,STOP
57.5,34.15,98.37,RIGHT
50.45,13.41,72.49,RIGHT
71.89,22.81,56.28,LEFT
108.21,36.72,29.1,LEFT
15.54,16.74,11.93,STOP
50.47,17.36,116.59,RIGHT
42.0,26.44,62.91,LEFT
18.5,7.96,24.37,STOP
51.22,71.05,9.62,FORWARD
49.14,85.45,91.09,FORWARD
116.94,41.93,36.4,LEFT
16.22,19.55,10.32,STOP
7.05,8.8,7.34,STOP
51.97,73.08,113.78,FORWARD
59.14,23.98,118.66,RIGHT
22.29,16.03,7.76,STOP
14.42,5.28,7.59,STOP
11.45,8.25,18.13,STOP
19.32,5.11,14.87,STOP
15.07,5.44,14.47,STOP
79.68,36.41,47.61,RIGHT
11.83,15.65,14.79,STOP
34.5,119.3,37.58,FORWARD
48.04,42.57,37.77,LEFT
116.34,10.83,30.16,LEFT
37.54,32.11,64.89,RIGHT
32.3,94.75,103.65,FORWARD
24.13,11.2,116.53,RIGHT
5.31,10.28,19.84,STOP
18.78,90.08,112.26,FORWARD
46.28,25.73,76.84,RIGHT
59.62,16.4,74.05,LEFT
21.63,6.79,8.94,STOP
15.2,107.46,37.04,FORWARD
72.05,30.55,69.36,LEFT
45.34,43.64,69.69,LEFT
8.14,7.79,18.47,STOP
94.29,100.07,42.41,FORWARD
6.5,14.83,24.27,STOP
14.97,17.87,12.57,STOP
57.49,11.86,40.78,RIGHT
119.97,40.95,40.94,LEFT
22.79,30.71,77.17,RIGHT
80.2,33.67,62.34,LEFT
64.05,40.96,54.88,RIGHT
72.57,7.87,35.03,LEFT
95.03,8.27,52.78,LEFT
115.78,7.79,57.43,LEFT
18.05,68.66,38.26,FORWARD
63.22,82.46,43.26,FORWARD
11.28,13.23,13.01,STOP
98.76,23.92,26.21,LEFT
31.25,37.58,90.35,RIGHT
26.69,5.87,46.35,RIGHT
102.79,27.35,49.64,LEFT
26.79,9.72,62.28,RIGHT
63.8,25.93,44.85,RIGHT
12.07,5.65,10.22,STOP
108.79,112.36,15.92,FORWARD
71.75,22.03,59.62,LEFT
67.11,15.11,22.56,LEFT
44.97,94.21,40.89,FORWARD
18.5,6.36,11.98,STOP
12.97,9.75,9.54,STOP
51.56,35.26,32.38,LEFT
5.6,13.83,6.66,STOP
109.01,19.56,26.88,LEFT
47.2,21.89,71.38,LEFT
11.54,18.22,8.37,STOP
22.93,13.64,14.55,STOP
57.3,40.08,44.6,LEFT
7.86,16.3,12.55,STOP
45.98,36.36,71.06,RIGHT
74.79,41.01,72.68,RIGHT
19.49,6.2,14.52,STOP
63.0,22.45,48.53,RIGHT
78.96,36.11,37.63,LEFT
87.14,23.11,48.76,LEFT
91.16,36.17,39.26,LEFT
42.01,33.07,49.15,RIGHT
34.74,76.67,43.68,FORWARD
44.0,32.44,39.7,LEFT
40.41,12.94,116.33,RIGHT
78.83,42.34,64.4,LEFT
107.83,73.27,35.95,FORWARD
109.66,35.99,37.09,LEFT
42.4,76.15,69.16,FORWARD
14.11,11.28,15.98,STOP
65.55,5.4,73.75,RIGHT
9.28,14.27,17.56,STOP
59.58,69.09,83.7,FORWARD
66.89,20.63,49.16,LEFT
18.02,75.57,11.07,FORWARD
78.0,35.98,50.14,RIGHT
80.23,107.4,18.95,FORWARD
49.73,21.92,43.11,LEFT
29.02,67.8,90.29,FORWARD
60.35,36.99,117.24,RIGHT
81.41,22.58,26.0,LEFT
24.71,8.21,11.46,STOP
14.74,13.38,6.76,STOP
63.33,11.45,64.7,LEFT
8.21,12.79,20.87,STOP
40.86,96.91,81.26,FORWARD
21.0,15.15,11.3,STOP
36.21,76.66,15.59,FORWARD
115.6,34.44,43.72,LEFT
74.65,29.65,30.0,LEFT
72.79,11.15,61.92,LEFT
38.02,89.6,10.19,FORWARD
48.05,8.91,92.66,RIGHT
5.13,15.31,24.5,STOP
84.22,58.51,28.47,FORWARD
11.21,17.97,18.48,STOP
64.28,31.21,55.51,RIGHT
64.94,23.08,98.68,RIGHT
11.18,12.6,16.54,STOP
75.19,7.75,108.61,RIGHT
43.1,56.17,10.77,FORWARD
41.85,22.64,101.03,RIGHT
24.52,16.29,77.94,RIGHT
69.74,39.26,31.47,LEFT
74.83,6.07,30.75,LEFT
47.26,29.93,114.05,RIGHT
100.51,37.36,75.87,LEFT
16.7,113.08,68.38,FORWARD
116.9,96.47,56.39,FORWARD
31.79,102.42,42.98,FORWARD
20.68,16.07,17.58,STOP
82.87,84.54,45.03,FORWARD
58.17,23.73,54.0,LEFT
12.74,18.72,19.58,STOP
76.74,108.34,20.88,FORWARD
90.8,116.67,78.13,FORWARD
62.81,111.02,11.39,FORWARD
15.77,67.37,14.61,FORWARD
48.9,18.33,94.42,RIGHT
39.51,6.96,111.59,RIGHT
65.79,7.18,20.39,LEFT
47.43,66.16,35.27,FORWARD
21.56,11.86,7.67,STOP
19.95,11.56,21.87,STOP
95.67,88.81,112.89,FORWARD
78.93,102.48,14.97,FORWARD
41.01,31.19,58.39,RIGHT
6.87,14.55,13.9,STOP
7.68,14.28,18.21,STOP
19.73,5.89,18.95,STOP
86.22,63.2,111.74,FORWARD
68.04,20.71,52.58,LEFT
19.2,16.03,19.64,STOP
23.74,92.0,63.31,FORWARD
114.12,15.3,30.12,LEFT
6.31,95.0,62.54,FORWARD
9.13,16.77,16.73,STOP
68.88,39.79,110.41,RIGHT
25.37,113.11,69.04,FORWARD
75.92,14.86,64.28,RIGHT
16.21,19.65,13.23,STOP
72.79,28.17,65.45,LEFT
100.68,31.38,75.08,LEFT
38.91,33.8,86.18,RIGHT
65.25,7.66,70.06,RIGHT
18.15,15.93,15.93,STOP
87.59,6.91,29.77,LEFT
105.69,30.77,77.54,LEFT
110.28,78.17,39.19,FORWARD
62.56,33.19,60.07,RIGHT
21.07,5.18,58.37,RIGHT
57.25,94.9,60.57,FORWARD
59.58,19.85,71.17,RIGHT
20.17,19.29,14.59,STOP
18.39,7.72,14.65,STOP
111.69,94.87,25.08,FORWARD
11.83,17.83,6.9,STOP
69.99,18.1,49.12,RIGHT
62.7,23.23,68.02,RIGHT
60.28,35.03,115.26,RIGHT
74.18,36.5,67.68,RIGHT
90.68,36.14,51.02,LEFT
119.8,23.32,25.3,LEFT
90.74,19.25,68.02,LEFT
71.42,30.87,34.38,LEFT
69.13,18.61,54.69,LEFT
81.51,26.28,23.02,LEFT
15.55,7.97,6.55,STOP
63.52,115.5,5.82,FORWARD
16.76,15.23,8.92,STOP
12.12,12.31,6.6,STOP
50.8,18.7,79.02,RIGHT
12.57,9.22,7.69,STOP
52.74,9.06,25.48,LEFT
12.67,7.06,22.6,STOP
10.91,11.09,15.77,STOP
10.75,19.22,11.87,STOP
6.35,9.28,12.14,STOP
78.74,18.95,33.78,LEFT
13.85,83.97,22.96,FORWARD
74.82,108.1,116.76,FORWARD
73.26,40.53,40.33,LEFT
73.67,6.56,90.45,RIGHT
15.21,15.12,8.15,STOP
44.97,44.75,66.07,RIGHT
99.01,70.01,64.12,FORWARD
17.14,7.3,24.93,STOP
66.98,15.15,113.13,RIGHT
27.52,87.74,26.96,FORWARD
19.21,13.25,20.72,STOP
112.71,90.32,61.31,FORWARD
118.82,25.73,65.87,LEFT
116.73,83.68,118.13,FORWARD
22.19,12.59,9.15,STOP
36.71,36.82,48.22,RIGHT
20.74,16.14,5.82,STOP
33.78,30.67,96.13,RIGHT
37.51,27.14,113.21,RIGHT
11.14,10.3,13.68,STOP
7.35,9.49,16.62,STOP
64.79,38.3,40.04,LEFT
19.7,78.73,77.63,FORWARD
18.96,115.5,11.29,FORWARD
31.04,30.67,103.35,RIGHT
61.24,32.53,69.36,LEFT
96.17,7.91,20.63,LEFT
89.9,13.46,68.9,LEFT
79.05,84.36,67.62,FORWARD
67.04,28.24,60.2,LEFT
74.2,18.62,102.8,RIGHT
64.45,43.97,66.39,LEFT
20.54,10.79,14.78,STOP
19.05,19.36,5.83,STOP
5.6,69.37,60.64,FORWARD
118.09,42.05,20.31,LEFT
81.12,21.55,29.43,LEFT
50.03,62.39,92.38,FORWARD
55.73,22.24,87.72,RIGHT
52.06,27.61,82.45,RIGHT
56.95,57.45,103.8,FORWARD
8.0,12.13,8.53,STOP
10.21,118.7,28.26,FORWARD
93.66,62.78,91.97,FORWARD
96.03,119.24,92.9,FORWARD
54.75,42.84,71.09,LEFT
17.28,7.06,17.55,STOP
71.96,43.85,25.93,LEFT
40.95,25.43,75.45,RIGHT
9.44,5.47,19.01,STOP
24.86,18.26,17.68,STOP
23.1,5.88,116.84,RIGHT
11.62,10.95,6.62,STOP
73.57,73.48,36.12,FORWARD
50.05,7.05,70.05,LEFT
11.08,10.03,12.17,STOP
20.91,20.29,57.2,RIGHT
73.36,36.27,43.82,RIGHT
41.34,32.04,118.19,RIGHT
16.88,19.39,18.16,STOP
90.55,73.54,38.11,FORWARD
33.42,10.88,86.27,RIGHT
15.08,18.07,8.0,STOP
41.57,35.49,69.05,LEFT
21.12,10.37,11.2,STOP
58.21,101.84,84.69,FORWARD
54.72,63.55,108.26,FORWARD
75.85,17.52,81.57,RIGHT
87.73,99.29,115.82,FORWARD
57.73,55.75,52.28,FORWARD
83.0,12.13,75.01,LEFT
68.21,28.89,52.87,RIGHT
66.12,39.87,93.23,RIGHT
61.21,7.78,44.3,LEFT
21.36,43.33,71.05,RIGHT
30.24,37.77,109.96,RIGHT
108.71,19.26,43.01,LEFT
16.01,65.96,40.95,FORWARD
88.46,99.41,12.18,FORWARD
16.21,11.83,9.58,STOP
60.24,19.42,96.6,RIGHT
22.05,21.36,42.44,RIGHT
112.15,57.62,54.78,FORWARD
78.08,38.26,74.4,LEFT
109.24,119.53,51.28,FORWARD
53.6,12.34,83.34,RIGHT
23.76,5.26,13.96,STOP
71.93,83.89,51.08,FORWARD
101.06,26.91,40.55,LEFT
9.3,14.34,22.97,STOP
88.54,75.58,7.92,FORWARD
21.55,6.45,16.83,STOP
52.82,39.56,31.17,LEFT
73.5,70.09,87.35,FORWARD
15.47,19.03,5.99,STOP
16.43,6.68,9.42,STOP
69.12,31.46,43.74,LEFT
20.64,22.26,48.87,RIGHT
36.29,14.81,68.74,RIGHT
103.25,61.47,10.88,FORWARD
18.67,18.81,21.3,STOP
59.23,101.08,86.22,FORWARD
104.77,12.79,49.29,LEFT
21.46,14.8,56.48,RIGHT
79.74,11.54,110.47,RIGHT
11.72,11.36,17.62,STOP
74.15,33.89,37.12,LEFT
73.76,29.39,56.06,RIGHT
110.17,44.71,70.55,LEFT
19.61,7.34,15.64,STOP
43.65,36.14,59.53,RIGHT
21.38,16.51,14.96,STOP
67.62,83.57,68.65,FORWARD
56.6,107.49,69.85,FORWARD
109.37,63.23,34.75,FORWARD
32.18,5.36,64.79,RIGHT
9.79,102.26,39.28,FORWARD
9.17,8.78,18.08,STOP
18.96,79.77,38.23,FORWARD
47.68,118.41,56.23,FORWARD
86.71,18.89,38.32,LEFT
116.22,43.26,25.38,LEFT
80.11,18.87,25.25,LEFT
89.37,65.66,17.72,FORWARD
50.65,86.0,26.76,FORWARD
79.98,81.06,25.61,FORWARD
76.4,6.95,56.51,LEFT
20.61,14.59,11.51,STOP
32.48,12.86,110.46,RIGHT
57.61,9.96,34.18,LEFT
37.19,78.36,72.13,FORWARD
14.85,15.29,23.58,STOP
26.44,57.84,14.38,FORWARD
14.33,5.15,7.34,STOP
73.12,111.9,26.26,FORWARD
10.29,70.8,107.4,FORWARD
63.49,34.85,20.48,LEFT
115.46,9.44,65.93,LEFT
113.46,32.26,50.51,LEFT
103.19,29.74,46.95,LEFT
42.3,80.82,17.54,FORWARD
56.67,42.69,80.0,RIGHT
63.18,80.9,73.41,FORWARD
61.64,66.34,11.64,FORWARD
19.46,16.22,18.56,STOP
18.39,6.23,24.9,STOP
53.46,63.52,104.54,FORWARD
23.49,58.33,75.21,FORWARD
9.69,19.96,7.83,STOP
78.34,12.12,44.54,RIGHT
109.55,35.8,43.29,LEFT
67.8,35.18,67.98,RIGHT
108.37,10.13,74.38,LEFT
24.69,33.43,56.9,RIGHT
96.47,15.79,26.69,LEFT
8.17,84.39,10.94,FORWARD
112.41,27.62,40.7,LEFT
19.61,14.66,15.7,STOP
81.09,15.14,52.37,LEFT
24.78,6.59,18.75,STOP
67.84,42.83,22.91,LEFT
16.96,17.37,12.93,STOP
36.14,60.39,25.9,FORWARD
45.72,39.39,70.56,LEFT
57.35,55.03,49.54,FORWARD
69.15,118.13,39.78,FORWARD
74.37,44.0,51.16,RIGHT
6.32,19.85,23.08,STOP
40.82,12.97,44.06,LEFT
63.13,63.68,10.67,FORWARD
16.88,19.83,20.67,STOP
119.36,30.18,43.53,LEFT
114.35,116.49,40.39,FORWARD
9.18,5.22,24.44,STOP
42.34,95.61,119.1,FORWARD
11.64,6.51,5.86,STOP
56.07,96.78,47.17,FORWARD
23.41,42.27,43.06,RIGHT
64.86,8.16,65.04,RIGHT
33.4,99.67,59.45,FORWARD
7.1,62.34,76.95,FORWARD
100.76,34.91,35.29,LEFT
109.41,71.79,16.52,FORWARD
57.8,26.3,24.73,LEFT
57.81,31.71,42.19,RIGHT
46.25,82.72,57.71,FORWARD
43.36,43.35,66.93,LEFT
76.24,36.04,67.81,LEFT
18.98,16.6,24.06,STOP
57.27,9.1,60.34,RIGHT
21.36,10.51,9.1,STOP
60.65,36.86,41.76,LEFT
97.81,5.96,24.61,LEFT
75.31,40.44,100.48,RIGHT
69.43,21.38,79.83,LEFT
15.54,13.26,11.8,STOP
62.49,34.01,116.78,RIGHT
9.97,6.14,11.27,STOP
21.18,87.48,116.56,FORWARD
6.81,12.89,24.3,STOP
36.67,80.23,96.31,FORWARD
18.87,18.61,13.11,STOP
15.79,9.64,5.46,STOP
24.31,15.8,15.49,STOP
76.83,43.46,76.12,LEFT
71.27,30.59,76.46,RIGHT
59.96,10.49,103.77,RIGHT
51.65,29.22,58.62,LEFT
47.56,5.05,62.59,LEFT
7.76,13.4,13.43,STOP
71.06,44.42,97.72,RIGHT
61.75,34.75,65.47,LEFT
36.84,79.13,102.19,FORWARD
56.23,44.87,76.59,RIGHT
55.65,23.82,47.23,LEFT
53.18,30.21,41.5,LEFT
31.53,32.16,95.63,RIGHT
19.6,13.92,19.56,STOP
47.53,69.81,28.68,FORWARD
42.08,17.09,102.0,RIGHT
76.95,43.6,96.39,RIGHT
108.45,119.65,29.43,FORWARD
67.68,22.05,38.0,LEFT
20.49,17.73,11.82,STOP
36.27,91.95,105.01,FORWARD
42.08,28.13,71.01,RIGHT
28.21,31.08,71.82,RIGHT
11.77,17.24,15.11,STOP
85.71,44.33,46.72,LEFT
21.01,17.46,24.96,STOP
7.01,10.61,7.18,STOP
27.95,58.24,73.94,FORWARD
21.62,6.64,12.02,STOP
68.34,41.27,83.92,RIGHT
51.99,25.01,49.55,LEFT
15.69,12.43,16.33,STOP
109.77,12.46,49.48,LEFT
109.42,32.14,26.67,LEFT
98.58,35.6,64.53,LEFT
105.34,36.92,27.26,LEFT
78.83,31.1,48.28,RIGHT
12.97,6.53,16.37,STOP
98.99,78.57,105.64,FORWARD
61.88,28.71,26.99,LEFT
14.32,7.72,14.43,STOP
31.35,18.97,55.19,RIGHT
52.91,104.1,48.22,FORWARD
6.49,18.42,15.03,STOP
40.03,44.43,115.33,RIGHT
97.32,43.26,61.95,LEFT
38.43,26.23,111.17,RIGHT
109.63,18.76,51.53,LEFT
91.71,14.25,57.01,LEFT
65.2,35.28,73.42,LEFT
5.62,14.0,23.73,STOP
73.43,103.66,48.09,FORWARD
100.65,38.69,52.86,LEFT
53.26,34.67,28.92,LEFT
90.73,66.59,24.63,FORWARD
8.43,7.99,22.23,STOP
63.92,100.24,40.06,FORWARD
22.13,18.24,19.98,STOP
49.84,21.56,69.29,RIGHT
7.47,8.06,16.02,STOP
23.18,5.13,20.62,STOP
23.52,25.63,86.2,RIGHT
60.23,38.82,96.72,RIGHT
53.45,23.47,71.16,LEFT
11.1,8.99,12.5,STOP
20.64,11.11,12.5,STOP
26.61,43.42,107.52,RIGHT
96.93,104.67,21.45,FORWARD
101.48,7.18,43.05,LEFT
80.24,81.54,37.8,FORWARD
75.16,36.58,36.13,LEFT
7.27,10.43,16.92,STOP
59.17,9.98,57.08,LEFT
57.38,11.69,83.43,RIGHT
108.32,39.43,22.84,LEFT
91.09,110.98,19.4,FORWARD
16.96,7.45,18.63,STOP
53.1,105.89,12.71,FORWARD
42.47,42.23,105.62,RIGHT
14.99,10.9,21.4,STOP
45.94,29.97,70.93,LEFT
59.77,20.83,50.26,RIGHT
17.47,7.56,17.13,STOP
118.51,13.03,52.53,LEFT
22.49,11.14,7.51,STOP
48.07,11.24,90.5,RIGHT
73.33,69.67,31.38,FORWARD
27.05,21.06,67.13,RIGHT
51.95,31.3,71.23,LEFT
60.75,9.33,49.55,RIGHT
29.99,32.24,87.42,RIGHT
37.39,25.18,51.72,RIGHT
72.12,44.46,52.24,LEFT
8.2,12.06,14.37,STOP
23.95,44.89,79.87,RIGHT
13.47,17.91,22.3,STOP
11.81,10.9,5.34,STOP
50.46,44.57,26.97,LEFT
61.93,30.02,30.56,LEFT
22.7,82.03,71.34,FORWARD
22.04,14.47,14.71,STOP
33.46,28.02,85.23,RIGHT
12.52,89.95,80.83,FORWARD
89.53,16.66,22.15,LEFT
75.36,82.17,37.86,FORWARD
27.01,21.98,64.71,RIGHT
41.12,43.89,56.86,LEFT
13.85,19.57,11.03,STOP
68.58,13.72,64.9,RIGHT
114.76,43.88,50.69,LEFT
24.74,116.6,40.33,FORWARD
73.25,11.78,56.67,LEFT
5.9,16.93,12.34,STOP
74.87,44.03,62.05,RIGHT
37.53,41.07,67.93,RIGHT
44.19,119.39,108.61,FORWARD
70.02,43.71,43.35,RIGHT
27.67,13.0,61.22,RIGHT
27.38,68.56,45.12,FORWARD
117.6,78.61,118.24,FORWARD
29.49,76.03,99.57,FORWARD
50.54,17.92,76.71,LEFT
72.3,5.74,32.91,LEFT
21.12,5.38,16.63,STOP
13.14,6.15,18.84,STOP
43.54,95.9,68.12,FORWARD
65.34,5.47,95.73,RIGHT
32.54,18.05,112.07,RIGHT
51.85,13.45,75.35,RIGHT
75.75,90.26,24.3,FORWARD
40.34,90.6,110.0,FORWARD
87.38,38.71,41.3,LEFT
25.47,62.88,59.69,FORWARD
72.92,80.59,14.04,FORWARD
23.23,5.02,12.73,STOP
10.2,110.04,13.69,FORWARD
93.15,25.05,56.09,LEFT
71.71,100.19,55.91,FORWARD
70.0,28.34,21.03,LEFT
50.38,27.75,91.71,RIGHT
37.28,100.06,26.19,FORWARD
15.38,14.45,7.64,STOP
12.31,71.78,72.57,FORWARD
96.57,14.81,52.83,LEFT
25.4,33.38,102.9,RIGHT
64.49,64.16,113.21,FORWARD
7.17,17.45,8.2,STOP
86.51,93.47,24.42,FORWARD
78.58,33.05,50.05,RIGHT
47.17,17.43,43.75,RIGHT
50.77,111.27,19.99,FORWARD
20.78,19.11,16.21,STOP
87.53,39.7,76.9,LEFT
77.66,67.95,95.13,FORWARD
69.74,42.23,107.49,RIGHT
13.55,17.34,8.75,STOP
36.08,98.78,38.32,FORWARD
8.51,14.81,5.14,STOP
98.09,43.94,73.37,LEFT
32.37,15.12,115.66,RIGHT
109.92,36.23,42.21,LEFT
23.58,13.54,24.98,STOP
64.95,33.31,81.25,RIGHT
67.55,22.42,43.57,LEFT
61.36,28.53,102.35,RIGHT
15.3,19.76,12.91,STOP
31.0,95.87,94.47,FORWARD
43.47,19.66,116.16,RIGHT
30.27,37.58,81.21,RIGHT
42.7,15.21,52.09,LEFT
65.65,79.28,6.84,FORWARD
26.62,86.88,39.27,FORWARD
72.17,9.66,47.46,RIGHT
79.48,29.18,75.18,RIGHT
72.87,22.24,111.74,RIGHT
76.11,39.49,40.25,LEFT
19.12,11.04,9.09,STOP
76.26,25.16,43.05,RIGHT
61.37,28.59,73.29,RIGHT
93.46,116.13,99.26,FORWARD
21.78,8.81,21.13,STOP
99.88,93.04,70.43,FORWARD
85.92,67.35,92.25,FORWARD
23.67,19.08,17.77,STOP
49.14,85.06,113.64,FORWARD
78.85,40.67,44.4,RIGHT
28.56,102.63,60.78,FORWARD
58.65,7.19,45.75,RIGHT
63.58,61.25,110.23,FORWARD
13.24,8.02,6.08,STOP
7.81,56.32,69.89,FORWARD
58.22,17.18,77.94,LEFT
51.22,41.11,42.79,RIGHT
93.74,101.11,11.51,FORWARD
16.57,10.28,15.28,STOP
5.19,18.1,22.72,STOP
109.38,63.51,37.49,FORWARD
60.43,36.23,42.49,RIGHT
21.75,9.14,13.91,STOP
89.77,17.37,74.07,LEFT
113.0,35.23,33.89,LEFT
11.99,6.35,12.4,STOP
69.85,10.31,117.39,RIGHT
92.68,118.38,73.55,FORWARD
37.49,108.11,64.57,FORWARD
95.65,10.45,35.17,LEFT
68.56,44.26,62.91,LEFT
30.9,38.86,90.77,RIGHT
35.71,115.68,110.62,FORWARD
10.76,15.21,18.33,STOP
8.59,7.68,8.98,STOP
12.18,67.06,20.33,FORWARD
76.6,18.67,118.33,RIGHT
80.01,93.28,94.71,FORWARD
77.27,10.1,43.73,LEFT
59.35,33.26,39.47,LEFT
14.91,13.51,9.3,STOP
7.48,11.88,14.59,STOP
63.36,44.39,109.41,RIGHT
10.75,12.79,13.24,STOP
41.15,75.75,110.17,FORWARD
88.89,109.51,93.52,FORWARD
119.83,38.41,40.38,LEFT
69.63,9.49,65.21,LEFT
19.69,15.15,6.4,STOP
89.81,98.95,101.7,FORWARD
77.41,13.95,99.43,RIGHT
57.6,33.36,41.77,LEFT
104.83,112.38,88.42,FORWARD
85.25,25.1,51.03,LEFT
9.82,6.88,15.64,STOP
39.16,37.64,74.01,RIGHT
34.01,24.33,95.63,RIGHT
74.13,33.94,83.79,RIGHT
30.4,68.93,21.55,FORWARD
23.18,8.42,53.43,RIGHT
25.02,71.7,33.4,FORWARD
36.92,5.88,107.01,RIGHT
74.07,103.24,31.16,FORWARD
51.75,29.82,37.56,LEFT
71.74,18.67,71.41,RIGHT
40.63,36.4,98.69,RIGHT
51.49,42.62,83.71,RIGHT
46.88,19.1,36.25,LEFT
88.12,61.55,74.28,FORWARD
52.51,30.0,104.54,RIGHT
62.61,17.09,64.3,RIGHT
75.4,34.22,49.42,LEFT
106.92,15.14,59.49,LEFT
28.02,118.59,39.08,FORWARD
113.77,18.41,69.04,LEFT
78.7,74.61,25.18,FORWARD
41.48,22.55,22.74,LEFT
70.36,100.97,23.56,FORWARD
51.84,21.29,90.76,RIGHT
39.3,40.97,44.54,RIGHT
33.34,15.77,56.65,RIGHT
64.17,25.81,118.58,RIGHT
69.96,114.12,51.37,FORWARD
29.32,24.94,97.29,RIGHT
55.11,28.94,47.04,RIGHT
74.38,16.24,58.09,RIGHT
20.24,16.67,43.27,RIGHT
81.31,65.85,8.76,FORWARD
20.57,33.92,112.13,RIGHT
10.97,14.18,20.1,STOP
106.51,20.22,42.27,LEFT
15.22,17.92,12.95,STOP
7.38,11.69,23.36,STOP
104.0,33.87,21.71,LEFT
46.51,115.35,61.64,FORWARD
24.15,10.65,18.51,STOP
43.3,25.04,88.95,RIGHT
31.23,95.99,57.73,FORWARD
57.2,6.04,38.65,LEFT
15.77,15.79,16.95,STOP
54.05,12.14,33.59,LEFT
24.95,5.7,8.43,STOP
7.45,8.35,12.61,STOP
19.41,17.98,8.6,STOP
50.3,34.11,45.77,RIGHT
86.95,28.44,74.46,LEFT
32.16,30.46,50.94,RIGHT
69.87,83.54,41.8,FORWARD
33.52,23.93,74.35,RIGHT
5.39,14.05,13.31,STOP
57.21,5.45,44.48,RIGHT
63.7,99.72,86.38,FORWARD
65.49,21.5,108.11,RIGHT
80.65,78.94,20.55,FORWARD
20.35,13.88,14.98,STOP
53.77,25.36,66.21,LEFT
21.89,6.48,8.47,STOP
38.23,34.25,114.14,RIGHT
110.75,57.72,73.47,FORWARD
22.02,15.48,19.08,STOP
68.91,26.57,63.3,RIGHT
103.01,93.38,52.23,FORWARD
105.53,16.11,72.22,LEFT
19.53,11.22,21.5,STOP
116.35,38.98,57.58,LEFT
16.86,99.47,12.73,FORWARD
107.92,18.37,25.07,LEFT
9.98,12.82,18.31,STOP
61.07,19.85,59.08,LEFT
46.46,23.65,68.75,LEFT
47.25,23.36,44.55,LEFT
73.44,5.87,103.4,RIGHT
64.97,99.63,48.51,FORWARD
59.68,16.68,66.78,RIGHT
52.91,19.24,55.72,LEFT
99.87,14.14,32.07,LEFT
116.67,106.52,100.0,FORWARD
115.47,8.83,57.53,LEFT
7.98,5.31,23.7,STOP
28.14,15.09,72.44,RIGHT
42.41,109.08,114.41,FORWARD
7.22,16.35,18.18,STOP
33.63,9.74,51.23,RIGHT
112.78,33.95,27.19,LEFT
110.3,15.34,77.25,LEFT
21.02,15.89,10.2,STOP
80.75,67.29,14.91,FORWARD
31.5,11.35,86.71,RIGHT
67.82,39.2,49.32,LEFT
17.15,14.11,14.7,STOP
9.69,58.64,92.91,FORWARD
46.38,20.57,77.83,LEFT
11.05,8.37,7.89,STOP
68.43,26.54,27.63,LEFT
14.29,11.25,17.12,STOP
43.67,5.28,47.17,RIGHT
114.41,116.47,112.27,FORWARD
61.28,68.54,11.52,FORWARD
78.37,35.36,81.94,RIGHT
13.32,81.37,101.02,FORWARD
65.12,24.88,112.93,RIGHT
66.29,113.62,60.91,FORWARD
67.62,60.2,35.6,FORWARD
60.5,10.99,48.62,LEFT
68.57,8.8,70.74,RIGHT
21.58,17.45,24.27,STOP
65.55,31.4,88.28,RIGHT
95.75,99.57,73.64,FORWARD
73.52,23.82,100.0,RIGHT
114.3,110.97,5.86,FORWARD
30.53,72.26,31.61,FORWARD
14.77,15.66,16.19,STOP
59.6,21.02,49.73,LEFT
108.15,6.39,26.4,LEFT
38.75,68.97,107.73,FORWARD
47.8,26.52,112.1,RIGHT
25.16,88.37,113.68,FORWARD
64.82,76.72,97.44,FORWARD
80.91,40.38,49.49,LEFT
65.66,13.4,105.64,RIGHT
9.28,15.17,22.02,STOP
41.59,7.16,102.68,RIGHT
99.13,11.57,56.72,LEFT
43.39,36.21,53.66,LEFT
67.83,29.44,113.71,RIGHT
84.57,63.02,82.47,FORWARD
12.06,16.7,19.12,STOP
89.35,35.6,25.12,LEFT
6.47,18.26,5.06,STOP
